Product ID,Product Name,Category 1,Category 2,Category 3,Category 4,Category 5,Discounted Price,Orignal Price,Discount,User Rating,Number Of Rating
B09BN2NPBD,DIGITEK® (DRL-14C) Professional (31cm) Dual Temperature LED ,Electronics,Mobiles&Accessories,MobileAccessories,Photo&VideoAccessories,Flashes&SelfieLights,"1,699","3,495",0.51,4.1,14371
B00J4YG0PC,"Classmate Long Notebook - 140 Pages, Single Line, 297mm x 210",OfficeProducts,OfficePaperProducts,Paper,Stationery,"Notebooks,WritingPads&Diaries",561,720,0.22,4.4,3182
B073BRXPZX,"Lenovo 300 Wired Plug & Play USB Mouse, High Resolution 1600 ",Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Mice,,289,590,0.51,4.4,25886
B08LHTJTBB,Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portabl,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,NotebookComputerStands,,599,"1,999",0.7,4.4,4736
B07VTFN6HM,"Western Digital WD 2TB My Passport Portable Hard Disk Drive, ",Computers&Accessories,ExternalDevices&DataStorage,ExternalHardDisks,,,"5,599","7,350",0.24,4.4,73005
B008QS9J6Y,Logitech C270 Digital HD Webcam with Widescreen HD Video Call,Computers&Accessories,Accessories&Peripherals,Audio&VideoAccessories,Webcams&VoIPEquipment,Webcams,"1,990","2,595",0.23,4.3,20398
B09M8888DM,Portronics MPORT 31 4 Ports USB Hub (USB A to 4 USB-A Ports 4,Computers&Accessories,Accessories&Peripherals,USBHubs,,,499,799,0.38,4.3,2125
B07Z1YVP72,"AirCase Protective Laptop Bag Sleeve fits Upto 15.6"" Laptop/ ",Computers&Accessories,Accessories&Peripherals,LaptopAccessories,Bags&Sleeves,LaptopSleeves&Slipcases,449,999,0.55,4.3,11330
B082FTPRSK,Zinq Five Fan Cooling Pad and Laptop Stand with Dual Height A,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,CoolingPads,,999,"1,999",0.5,4.2,27441
B09RF2QXGX,"Gizga Essentials Webcam Cover, Privacy Protector Webcam Cover",Computers&Accessories,Accessories&Peripherals,LaptopAccessories,CameraPrivacyCovers,,69,299,0.77,4.3,255
B01KK0HU3Y,HP Z3700 Wireless Optical Mouse with USB Receiver and 2.4GHz ,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Mice,,899,"1,499",0.4,4.2,23174
B07JF9B592,MAONO AU-400 Lavalier Auxiliary Omnidirectional Microphone (B,MusicalInstruments,Microphones,Condenser,,,478,699,0.32,3.8,20218
B086394NY5,TABLE MAGIC Multipurpose Laptop Table Mat Finish Top Work at ,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,,,"1,399","2,490",0.44,4.3,11074
B00NH11PEY,AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,199,750,0.73,4.5,74976
B017PDR9N0,GIZGA Essentials Portable Tabletop Tablet Stand Mobile Holder,Computers&Accessories,Accessories&Peripherals,TabletAccessories,Stands,,149,499,0.7,4.1,25607
B07NC12T2R,boAt Stone 650 10W Bluetooth Speaker with Upto 7 Hours Playba,Electronics,HomeAudio,Speakers,BluetoothSpeakers,,"1,799","4,990",0.64,4.2,41226
B07WKBD37W,ESnipe Mart Worldwide Travel Adapter with Build in Dual USB C,HomeImprovement,Electrical,Adapters&Multi-Outlets,,,425,999,0.57,4,2581
B08JMC1988,boAt Stone 180 5W Bluetooth Speaker with Upto 10 Hours Playba,Electronics,HomeAudio,Speakers,OutdoorSpeakers,,999,"2,490",0.6,4.1,18331
B09GFN8WZL,Portronics Ruffpad 8.5M Multicolor LCD Writing Pad with Scree,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",GraphicTablets,,378,999,0.62,4.1,1779
B095X38CJS,BRUSTRO Copytinta Coloured Craft Paper A4 Size 80 GSM Mixed B,OfficeProducts,OfficePaperProducts,Paper,Copy&PrintingPaper,ColouredPaper,99,99,0,4.3,388
B07ZKD8T1Q,Cuzor 12V Mini ups for WiFi Router | Power Backup up to 4 Hou,Computers&Accessories,NetworkingDevices,Routers,,,"1,499","2,999",0.5,4.5,8656
B07G3YNLJB,Crucial BX500 240GB 3D NAND SATA 6.35 cm (2.5-inch) SSD (CT24,Computers&Accessories,Components,InternalSolidStateDrives,,,"1,815","3,100",0.41,4.5,92925
B00P93X2H6,"Classmate Pulse Spiral Notebook - 240 mm x 180 mm, Soft Cover",OfficeProducts,OfficePaperProducts,Paper,Stationery,"Notebooks,WritingPads&Diaries",67,75,0.11,4.1,1269
B0798PJPCL,Portronics My buddy plus Adjustable Laptop cooling Table (Bro,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,Lapdesks,,"1,889","2,699",0.3,4.3,17394
B09GFWJDY1,ZEBRONICS Zeb-Evolve Wireless in Ear Neckband Earphone with S,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,,499,"1,499",0.67,3.6,9169
B09MZ6WZ6V,INOVERA World Map Extended Anti Slip Rubber Gaming Stitched M,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Keyboard&MiceAccessories,MousePads,499,999,0.5,4.4,1030
B094QZLJQ6,Seagate One Touch 2TB External HDD with Password Protection �,Computers&Accessories,ExternalDevices&DataStorage,ExternalHardDisks,,,"5,799","7,999",0.28,4.5,50273
B07L3NDN24,"ZEBRONICS Zeb-Fame 5watts 2.0 Multi Media Speakers with AUX, ",Electronics,HomeAudio,Speakers,MultimediaSpeakerSystems,,499,799,0.38,3.9,6742
B08WD18LJZ,TVARA LCD Writing Tablet 8.5 Inch E-Note Pad LCD Writing Tabl,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",GraphicTablets,,249,600,0.59,4,1208
B09CMM3VGK,Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shap,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,179,499,0.64,4,1933
B06XDKWLJH,"Western Digital WD 1.5TB Elements Portable Hard Disk Drive, U",Computers&Accessories,ExternalDevices&DataStorage,ExternalHardDisks,,,"4,449","5,734",0.22,4.4,25006
B01J1CFO5I,Redgear MP35 Speed-Type Gaming Mousepad (Black/Red),Computers&Accessories,Accessories&Peripherals,PCGamingPeripherals,Gamepads,,299,550,0.46,4.6,33434
B07J2NGB69,"Lenovo 400 Wireless Mouse, 1200DPI Optical Sensor, 2.4GHz Wir",Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Mice,,629,"1,390",0.55,4.4,6301
B00MUTWLW4,"Logitech K480 Wireless Multi-Device Keyboard for Windows, mac",Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Keyboards,,"2,595","3,295",0.21,4.4,22618
B08QSC1XY8,Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Brai,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,389,"1,099",0.65,4.3,974
B017NC2IPM,RESONATE RouterUPS CRU12V2A | Zero Drop | UPS for WiFi Router,Computers&Accessories,NetworkingDevices,Routers,,,"1,799","2,911",0.38,4.3,20342
B00N1U7JXM,"3M Post-it Sticky Note Cube, 200 Sheets (4 Colors x 50 Sheets",OfficeProducts,OfficePaperProducts,Paper,Stationery,"Notebooks,WritingPads&Diaries",90,175,0.49,4.4,7429
B08HQL67D6,OFIXO Multi-Purpose Laptop Table/Study Table/Bed Table/Foldab,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,Lapdesks,,599,599,0,4,26423
B09RKFBCV7,"Fire-Boltt Ninja Calling 1.69"" Bluetooth Calling Smart Watch,",Electronics,WearableTechnology,SmartWatches,,,"1,999","7,999",0.75,4.2,31305
B08KHM9VBJ,"Airtel AMF-311WW Data Card (Black), 4g Hotspot Support with 2",Computers&Accessories,NetworkingDevices,DataCards&Dongles,,,"2,099","3,250",0.35,3.8,11213
B01IOZUHRS,Gizga Essentials Laptop Power Cable Cord- 3 Pin Adapter Isi C,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,LaptopChargers&PowerSupplies,,179,499,0.64,4.1,10174
B00CEQEGPI,Logitech MK270r USB Wireless Keyboard and Mouse Set for Windo,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Keyboard&MouseSets,,"1,345","2,295",0.41,4.2,17413
